ID,Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose
132,27,male,1,own,little,little,2708,15,furniture/equipment
133,47,male,2,free,little,,1984,18,furniture/equipment
134,21,female,2,own,moderate,little,10144,60,radio/TV
135,38,female,2,own,little,little,1240,12,radio/TV
136,27,male,2,own,rich,little,8613,27,car
137,66,male,1,own,quite rich,moderate,766,12,radio/TV
138,35,male,2,own,,moderate,2728,15,radio/TV
139,44,female,1,rent,little,rich,1881,12,radio/TV
140,27,male,0,own,rich,rich,709,6,car
141,30,female,3,own,little,moderate,4795,36,radio/TV
142,27,male,3,own,little,little,3416,27,radio/TV
143,22,male,2,own,little,little,2462,18,furniture/equipment
144,23,female,2,own,little,little,2288,21,furniture/equipment
145,30,male,2,own,moderate,moderate,3566,48,business
146,39,female,2,own,little,little,860,6,car
147,51,female,2,own,moderate,,682,12,car
148,28,male,2,own,little,little,5371,36,furniture/equipment
149,46,male,2,own,rich,little,1582,18,radio/TV
150,42,male,2,free,moderate,little,1346,6,radio/TV
151,38,male,2,own,little,little,1924,10,radio/TV
152,24,male,2,own,little,rich,5848,36,radio/TV
153,29,female,2,rent,rich,moderate,7758,24,car
154,36,male,3,rent,moderate,moderate,6967,24,business
155,20,female,2,rent,little,little,1282,12,furniture/equipment
156,48,male,2,own,moderate,little,1288,9,repairs
157,45,male,1,own,little,little,339,12,education
158,38,male,2,own,moderate,moderate,3512,24,car
159,34,male,1,own,,,1898,6,radio/TV
160,36,male,2,own,moderate,little,2872,24,radio/TV
161,30,female,2,own,little,little,1055,18,car
162,36,male,2,own,quite rich,little,1262,15,domestic appliances
163,70,male,3,free,little,moderate,7308,10,car
164,36,male,2,own,quite rich,,909,36,car
165,32,male,2,own,quite rich,,2978,6,furniture/equipment
166,33,female,2,own,little,little,1131,18,furniture/equipment
167,20,female,2,own,rich,moderate,1577,11,furniture/equipment
168,25,female,2,rent,little,little,3972,24,furniture/equipment
169,31,male,2,own,little,moderate,1935,24,business
170,33,male,2,rent,little,little,950,15,car
171,26,female,2,own,little,,763,12,furniture/equipment
172,34,female,3,own,little,moderate,2064,24,furniture/equipment
173,33,male,2,own,little,moderate,1414,8,radio/TV
174,26,male,2,own,little,little,3414,21,education
175,53,female,3,own,little,moderate,7485,30,car
176,42,male,2,own,little,little,2577,12,furniture/equipment
177,52,male,2,own,quite rich,little,338,6,radio/TV
178,31,male,3,rent,little,little,1963,12,radio/TV
179,65,male,2,own,little,little,571,21,car
180,28,male,2,own,little,little,9572,36,business
181,30,male,3,own,little,moderate,4455,36,business
182,40,male,1,own,,little,1647,21,car
183,50,male,2,own,rich,,3777,24,furniture/equipment
184,36,male,2,own,little,moderate,884,18,car
185,31,male,2,own,little,little,1360,15,radio/TV
186,74,female,3,free,little,moderate,5129,9,car
187,68,male,0,free,little,moderate,1175,16,car
188,20,male,2,own,moderate,little,674,12,radio/TV
189,33,female,2,own,little,moderate,3244,18,furniture/equipment
190,54,male,3,own,rich,little,4591,24,business
191,34,male,1,free,moderate,moderate,3844,48,business
192,36,male,2,own,little,moderate,3915,27,business
193,29,male,2,rent,little,,2108,6,radio/TV
194,21,male,2,rent,moderate,moderate,3031,45,radio/TV
195,34,female,3,own,little,moderate,1501,9,education
196,28,female,2,own,little,little,1382,6,radio/TV
197,27,female,2,rent,moderate,moderate,951,12,furniture/equipment
198,36,male,2,free,,moderate,2760,24,car
199,40,male,3,own,little,moderate,4297,18,furniture/equipment
200,52,male,2,own,quite rich,little,936,9,education
201,27,male,1,own,little,little,1168,12,car
202,26,male,2,own,little,little,5117,27,business
203,21,male,2,rent,little,little,902,12,education
204,38,male,1,own,little,little,1495,12,car
205,38,male,3,free,little,little,10623,30,car
206,43,male,2,own,little,little,1935,12,furniture/equipment
207,26,male,2,own,little,moderate,1424,12,domestic appliances
208,21,male,1,own,little,little,6568,24,business
209,55,male,2,own,rich,little,1413,12,car
210,33,male,2,own,little,little,3074,9,radio/TV
211,45,female,1,own,little,little,3835,36,radio/TV
212,50,male,2,own,little,little,5293,27,business
213,66,male,3,own,little,rich,1908,30,business
214,51,male,2,own,little,little,3342,36,radio/TV
215,39,female,1,own,,moderate,932,6,education
216,31,male,2,own,little,little,3104,18,business
217,23,male,2,own,little,rich,3913,36,radio/TV
218,24,male,1,rent,little,little,3021,24,furniture/equipment
219,64,female,2,own,little,little,1364,10,car
220,26,male,1,own,little,moderate,625,12,radio/TV
221,23,female,2,rent,little,little,1200,12,education
222,30,male,2,own,little,little,707,12,radio/TV
223,32,male,2,own,little,rich,2978,24,business
224,30,male,2,own,little,little,4657,15,car
225,27,male,2,own,little,little,2613,36,repairs
226,27,male,2,own,rich,moderate,10961,48,radio/TV
227,53,male,3,free,little,little,7865,12,furniture/equipment
228,22,male,2,own,little,little,1478,9,radio/TV
229,22,male,2,free,little,little,3149,24,furniture/equipment
230,26,male,2,own,little,rich,4210,36,radio/TV
231,51,male,1,free,quite rich,little,2507,9,car
232,35,male,2,own,moderate,little,2141,12,radio/TV
233,25,male,1,own,little,moderate,866,18,radio/TV
234,42,male,1,own,little,little,1544,4,radio/TV
235,30,male,3,own,little,little,1823,24,radio/TV
236,23,male,0,own,little,moderate,14555,6,car
237,61,male,1,rent,moderate,moderate,2767,21,business
238,35,female,2,own,little,,1291,12,radio/TV
239,39,male,2,own,little,little,2522,30,radio/TV
240,29,female,2,own,,little,915,24,car
241,51,male,2,own,little,,1595,6,radio/TV
242,24,male,2,free,little,little,4605,48,car
243,27,female,2,own,little,,1185,12,business
244,35,female,1,own,quite rich,,3447,12,education
245,25,male,2,own,little,little,1258,24,business
246,52,male,2,own,little,little,717,12,radio/TV
247,35,male,2,rent,moderate,,1204,6,car
248,26,male,2,own,little,rich,1925,24,furniture/equipment
249,22,female,2,rent,little,little,433,18,radio/TV
250,39,female,1,own,rich,little,666,6,car
251,46,female,1,own,little,rich,2251,12,furniture/equipment
252,24,female,2,own,little,moderate,2150,30,car
253,35,male,2,own,moderate,little,4151,24,furniture/equipment
254,24,male,2,own,little,moderate,2030,9,furniture/equipment
255,27,male,1,own,little,moderate,7418,60,radio/TV
256,35,male,1,own,little,little,2684,24,radio/TV
257,29,male,2,free,little,little,2149,12,radio/TV
258,23,female,2,own,moderate,little,3812,15,car
259,57,female,1,own,moderate,little,1154,11,radio/TV
260,27,male,2,own,little,little,1657,12,furniture/equipment
261,55,female,2,own,little,little,1603,24,radio/TV
262,36,male,3,free,little,little,5302,18,car
263,57,female,1,free,little,,2748,12,education
264,32,male,1,own,little,,1231,10,car
265,37,male,2,own,little,moderate,802,15,radio/TV
266,36,male,2,own,little,little,6304,36,business
267,38,female,2,own,little,little,1533,24,radio/TV
268,45,male,3,own,little,little,8978,14,car
269,25,male,2,own,little,little,999,24,radio/TV
270,32,male,2,own,little,little,2662,18,car
271,37,female,2,rent,quite rich,little,1402,12,furniture/equipment
272,36,male,3,free,little,moderate,12169,48,car
273,28,male,2,own,little,moderate,3060,48,radio/TV
274,34,male,1,own,little,little,11998,30,repairs
275,32,male,2,own,little,little,2697,9,radio/TV
276,26,female,2,own,little,little,2404,18,radio/TV
277,49,male,1,own,little,little,1262,12,furniture/equipment
278,32,female,2,own,little,,4611,6,furniture/equipment
279,29,male,3,rent,moderate,,1901,24,radio/TV
280,23,male,2,rent,rich,,3368,15,car
281,50,male,2,own,little,,1574,12,furniture/equipment
282,49,male,1,own,little,rich,1445,18,radio/TV
283,63,male,2,own,little,little,1520,15,furniture/equipment
284,37,male,2,own,moderate,moderate,3878,24,car
285,35,female,1,own,little,little,10722,47,car
286,26,male,2,own,little,little,4788,48,car
287,31,male,3,free,moderate,moderate,7582,48,vacation/others
288,49,female,2,own,little,moderate,1092,12,radio/TV
289,48,male,2,own,little,little,1024,24,radio/TV
290,26,male,2,own,little,,1076,12,business
291,28,male,3,rent,little,moderate,9398,36,car
292,44,female,3,free,little,little,6419,24,car
293,56,male,2,free,little,rich,4796,42,car
294,46,male,3,own,little,little,7629,48,business
295,26,female,2,own,little,moderate,9960,48,furniture/equipment
296,20,female,2,rent,little,little,4675,12,car
297,45,male,1,own,little,little,1287,10,car
298,43,male,2,own,little,little,2515,18,furniture/equipment
299,32,male,2,own,rich,moderate,2745,21,furniture/equipment
300,54,female,0,own,little,little,672,6,car
301,42,female,2,own,little,moderate,3804,36,radio/TV
302,37,male,1,own,,rich,1344,24,car
303,49,male,2,own,little,little,1038,10,car
304,44,male,2,free,quite rich,little,10127,48,car
305,33,male,2,own,rich,little,1543,6,furniture/equipment
306,24,female,1,rent,little,little,4811,30,car
307,33,male,1,own,moderate,little,727,12,radio/TV
308,24,female,2,own,little,moderate,1237,8,furniture/equipment
309,22,male,1,rent,little,moderate,276,9,car
310,40,male,0,free,little,moderate,5381,48,vacation/others
311,25,male,2,own,moderate,little,5511,24,furniture/equipment
312,26,female,2,own,little,rich,3749,24,furniture/equipment
313,25,male,1,own,little,moderate,685,12,car
314,29,male,1,own,little,rich,1494,4,car
315,31,male,2,own,little,little,2746,36,furniture/equipment
316,38,male,1,own,little,little,708,12,furniture/equipment
317,48,female,1,own,little,moderate,4351,24,furniture/equipment
318,32,male,2,own,little,little,701,12,education
319,27,female,1,own,little,little,3643,15,furniture/equipment
320,28,male,3,own,little,moderate,4249,30,car
321,32,male,2,own,little,little,1938,24,radio/TV
322,34,male,3,free,little,little,2910,24,car
323,28,male,2,own,rich,little,2659,18,furniture/equipment
324,36,female,2,own,little,little,1028,18,car
325,39,male,1,own,little,little,3398,8,car
326,49,male,2,rent,little,little,5801,12,furniture/equipment
327,34,female,2,own,rich,little,1525,24,car
328,31,male,2,own,little,rich,4473,36,radio/TV
329,28,male,2,own,little,moderate,1068,6,radio/TV
330,75,male,3,free,little,little,6615,24,car
331,30,female,2,own,moderate,little,1864,18,education
332,24,female,3,own,moderate,moderate,7408,60,car
333,24,female,1,rent,moderate,little,11590,48,car
334,23,male,2,rent,little,little,4110,24,furniture/equipment
335,44,male,3,rent,little,little,3384,6,furniture/equipment
336,23,female,1,own,little,moderate,2101,13,radio/TV
337,24,female,2,rent,,little,1275,15,domestic appliances
338,28,male,2,own,little,little,4169,24,furniture/equipment
339,31,male,1,own,little,moderate,1521,10,furniture/equipment
340,24,female,2,free,little,moderate,5743,24,education
341,26,female,1,rent,little,little,3599,21,furniture/equipment
342,25,male,2,rent,quite rich,moderate,3213,18,radio/TV
343,33,male,3,own,little,moderate,4439,18,business
344,37,male,1,own,little,rich,3949,10,car
345,43,female,1,own,little,little,1459,15,radio/TV
346,23,male,2,own,little,moderate,882,13,radio/TV
347,23,female,0,rent,quite rich,moderate,3758,24,radio/TV
348,34,male,1,own,moderate,little,1743,6,business
349,32,male,2,free,rich,moderate,1136,9,education
350,23,female,2,rent,little,little,1236,9,domestic appliances
351,29,female,2,own,little,moderate,959,9,furniture/equipment
352,38,male,3,own,little,little,3229,18,car
353,28,male,2,rent,little,little,6199,12,radio/TV
354,46,male,2,free,quite rich,little,727,10,education
355,23,male,1,own,little,moderate,1246,24,car
356,49,male,2,own,little,little,2331,12,radio/TV
357,26,male,3,own,little,little,4463,36,radio/TV
358,28,male,2,own,little,little,776,12,radio/TV
359,23,female,2,rent,little,little,2406,30,furniture/equipment
360,61,male,2,free,,moderate,1239,18,education
361,37,male,3,own,,rich,3399,12,radio/TV
362,36,female,2,own,little,rich,2247,12,car
363,21,male,2,rent,little,little,1766,6,furniture/equipment
364,25,male,0,own,little,little,2473,18,furniture/equipment
365,36,male,2,own,little,little,1542,12,business
366,27,male,2,own,little,little,3850,18,car
367,22,female,2,rent,little,little,3650,18,furniture/equipment
368,42,male,2,own,little,little,3446,36,furniture/equipment
369,40,female,2,rent,little,moderate,3001,18,furniture/equipment
370,36,male,2,own,little,little,3079,36,car
371,33,male,2,own,little,little,6070,18,radio/TV
372,23,female,2,rent,little,little,2146,10,furniture/equipment
373,63,male,3,free,little,little,13756,60,car
374,60,female,3,free,moderate,moderate,14782,60,vacation/others
375,37,female,2,rent,little,little,7685,48,business
376,34,male,2,own,little,,2320,18,radio/TV
377,36,male,2,free,little,little,846,7,radio/TV
378,57,male,3,free,little,moderate,14318,36,car
379,52,female,1,own,moderate,,362,6,car
380,39,male,2,own,little,little,2212,20,furniture/equipment
381,38,female,3,free,little,moderate,12976,18,car
382,25,female,2,rent,little,little,1283,22,car
383,26,male,2,own,little,rich,1330,12,car
384,26,male,1,own,moderate,little,4272,30,business
385,25,female,2,own,little,little,2238,18,radio/TV
386,21,female,2,rent,,,1126,18,radio/TV
387,40,male,3,own,little,moderate,7374,18,furniture/equipment
388,27,male,2,own,quite rich,moderate,2326,15,business
389,27,female,2,own,little,little,1449,9,business
390,30,male,3,own,little,little,1820,18,car
391,19,female,1,rent,rich,moderate,983,12,furniture/equipment
392,39,male,3,free,little,little,3249,36,car
393,31,female,2,own,little,little,1957,6,radio/TV
394,31,male,3,own,little,little,2406,9,furniture/equipment
395,32,male,2,rent,moderate,moderate,11760,39,education
396,55,female,3,free,little,little,2578,12,furniture/equipment
397,46,male,2,own,little,little,2348,36,furniture/equipment
398,46,male,2,rent,little,moderate,1223,12,car
399,43,female,1,own,rich,little,1516,24,radio/TV
400,39,male,2,own,little,little,1473,18,radio/TV
401,28,male,2,own,,moderate,1887,18,business
402,27,male,2,own,little,little,8648,24,business
403,27,male,1,own,little,little,802,14,car
404,43,male,2,own,,moderate,2899,18,car
405,22,male,2,own,little,moderate,2039,24,radio/TV
406,43,male,2,own,little,little,2197,24,car
407,27,male,2,own,little,little,1053,15,radio/TV
408,26,male,3,own,quite rich,,3235,24,radio/TV
409,28,male,2,own,quite rich,rich,939,12,car
410,20,female,2,own,little,moderate,1967,24,radio/TV
411,35,male,3,own,little,little,7253,33,car
412,42,male,3,own,little,little,2292,12,business
413,40,male,1,rent,quite rich,,1597,10,car
414,35,female,2,own,,little,1381,24,car
415,35,male,2,own,little,,5842,36,car
416,33,male,1,own,little,little,2579,12,car
417,23,female,2,rent,little,little,8471,18,education
418,31,female,3,own,quite rich,,2782,21,car
419,33,female,2,own,little,moderate,1042,18,car
420,20,female,2,rent,rich,little,3186,15,car
421,30,male,2,own,,moderate,2028,12,car
422,47,male,1,own,little,moderate,958,12,car
423,34,male,3,own,moderate,,1591,21,furniture/equipment
424,25,female,2,own,little,moderate,2762,12,furniture/equipment
425,21,male,2,rent,little,moderate,2779,18,car
426,29,male,2,own,little,little,2743,28,radio/TV
427,46,male,2,own,rich,little,1149,18,radio/TV
428,20,male,2,own,little,little,1313,9,furniture/equipment
429,55,female,0,free,little,little,1190,18,repairs
430,74,male,1,own,little,,3448,5,business
431,29,male,3,own,little,moderate,11328,24,vacation/others
432,36,male,3,free,little,little,1872,6,furniture/equipment
433,33,male,2,own,little,,2058,24,repairs
434,25,male,2,own,little,little,2136,9,furniture/equipment
435,25,male,2,own,,moderate,1484,12,radio/TV
436,23,male,1,rent,quite rich,,660,6,repairs
437,37,female,2,own,rich,little,1287,24,car
438,65,male,0,own,little,little,3394,42,repairs
439,26,female,0,own,little,rich,609,12,business
440,39,male,3,own,little,,1884,12,car
441,30,female,2,own,little,little,1620,12,furniture/equipment
442,29,male,2,own,little,moderate,2629,20,vacation/others
443,41,male,1,own,little,little,719,12,education
444,30,female,3,own,little,moderate,5096,48,furniture/equipment
445,41,female,1,rent,little,little,1244,9,education
446,34,female,2,own,little,little,1842,36,car
447,35,male,2,own,little,moderate,2576,7,radio/TV
448,55,female,3,own,,rich,1424,12,furniture/equipment
449,61,male,2,own,rich,moderate,1512,15,repairs
450,30,male,3,own,little,little,11054,36,car
451,29,female,2,own,little,little,518,6,radio/TV
452,34,male,2,own,little,little,2759,12,furniture/equipment
453,35,male,3,own,little,little,2670,24,car
454,31,male,2,own,little,little,4817,24,car
455,29,female,3,own,little,,2679,24,car
456,36,male,2,rent,little,little,3905,11,car
457,35,male,2,free,little,little,3386,12,car
458,27,female,2,own,little,little,343,6,domestic appliances
459,32,male,2,own,little,little,4594,18,radio/TV
460,37,male,2,own,little,little,3620,36,furniture/equipment
461,36,male,2,own,little,little,1721,15,car
462,34,female,3,rent,little,moderate,3017,12,furniture/equipment
463,38,male,2,own,,moderate,754,12,education
464,34,male,2,own,little,little,1950,18,business
465,63,male,2,own,little,little,2924,24,car
466,29,female,1,rent,little,little,1659,24,radio/TV
467,32,male,2,own,little,little,7238,48,radio/TV
468,26,female,2,own,little,little,2764,33,business
469,35,male,1,own,little,little,4679,24,car
470,22,male,2,rent,moderate,moderate,3092,24,radio/TV
471,23,female,2,own,little,little,448,6,education
472,28,male,1,own,little,little,654,9,car
473,36,male,3,own,little,little,1238,6,education
474,33,male,2,own,little,moderate,1245,18,radio/TV
475,26,female,2,rent,little,little,3114,18,furniture/equipment
476,24,male,2,own,quite rich,little,2569,39,car
477,25,male,2,own,little,rich,5152,24,radio/TV
478,39,male,1,own,moderate,moderate,1037,12,business
479,44,male,2,own,little,little,1478,15,furniture/equipment
480,23,female,1,own,little,moderate,3573,12,radio/TV
481,26,male,2,own,little,moderate,1201,24,car
482,57,female,2,rent,rich,little,3622,30,furniture/equipment
483,30,female,2,own,rich,,960,15,furniture/equipment
484,44,male,2,own,quite rich,little,1163,12,car
485,47,male,3,own,little,moderate,1209,6,car
486,52,male,2,own,little,,3077,12,radio/TV
487,62,female,2,free,little,little,3757,24,car
488,35,male,1,rent,moderate,little,1418,10,car
489,26,male,2,rent,little,little,3518,6,car
490,26,male,2,own,little,little,1934,12,radio/TV
491,42,female,3,free,little,moderate,8318,27,business
492,27,female,2,own,moderate,,1237,6,radio/TV
493,38,male,2,own,,moderate,368,6,radio/TV
494,39,male,1,rent,little,little,2122,12,car
495,20,male,2,own,little,little,2996,24,furniture/equipment
496,29,male,3,rent,moderate,moderate,9034,36,furniture/equipment
497,40,male,2,own,little,,1585,24,furniture/equipment
498,32,male,1,own,little,moderate,1301,18,radio/TV
499,28,male,2,own,moderate,rich,1323,6,car
500,27,female,2,own,little,little,3123,24,car
501,42,male,2,free,little,little,5493,36,car
502,49,male,2,own,moderate,rich,1126,9,radio/TV
503,38,male,2,own,moderate,moderate,1216,24,radio/TV
504,24,female,2,rent,little,little,1207,24,car
505,27,male,1,own,little,little,1309,10,car
506,36,male,2,own,quite rich,rich,2360,15,car
507,34,male,3,own,moderate,moderate,6850,15,car
508,28,male,2,own,little,little,1413,24,radio/TV
509,45,male,3,own,moderate,little,8588,39,car
510,26,male,2,own,little,little,759,12,car
511,32,male,3,free,little,little,4686,36,car
512,26,male,2,rent,little,rich,2687,15,business
513,20,male,2,rent,little,moderate,585,12,radio/TV
514,54,male,2,own,,,2255,24,car
515,37,female,2,own,little,little,609,6,car
516,40,male,1,own,little,little,1361,6,car
517,23,female,2,rent,little,little,7127,36,furniture/equipment
518,43,male,2,own,moderate,little,1203,6,car
519,36,male,2,free,little,little,700,6,radio/TV
520,44,male,2,free,little,little,5507,24,repairs
521,24,female,2,own,little,little,3190,18,radio/TV
522,53,male,2,free,little,little,7119,48,furniture/equipment
523,23,female,2,own,moderate,little,3488,24,car
524,26,female,1,own,little,moderate,1113,18,radio/TV
525,30,male,2,own,little,moderate,7966,26,car
526,31,female,2,own,moderate,,1532,15,education
527,42,male,1,own,little,little,1503,4,radio/TV
528,31,male,2,rent,little,little,2302,36,radio/TV
529,41,male,1,own,little,little,662,6,car
530,32,male,2,own,little,moderate,2273,36,education
531,28,female,2,rent,moderate,moderate,2631,15,car
532,41,male,2,rent,little,little,1503,12,car
533,26,male,2,own,moderate,little,1311,24,radio/TV
534,25,male,2,own,little,little,3105,24,radio/TV
535,33,male,2,rent,little,rich,2319,21,education
536,75,female,3,own,little,little,1374,6,car
537,37,female,2,own,little,moderate,3612,18,furniture/equipment
538,42,male,3,free,little,little,7763,48,car
539,45,female,1,own,little,rich,3049,18,furniture/equipment
540,23,male,2,rent,little,moderate,1534,12,radio/TV
541,60,male,2,free,little,,2032,24,car
542,31,male,2,own,little,little,6350,30,furniture/equipment
543,34,male,1,own,little,rich,2864,18,furniture/equipment
544,61,male,1,own,little,little,1255,12,car
545,43,male,2,free,little,little,1333,24,car
546,37,female,2,own,little,,2022,24,car
547,32,male,2,own,little,little,1552,24,radio/TV
548,24,female,1,own,little,little,626,12,radio/TV
549,35,male,2,free,little,little,8858,48,car
550,23,female,2,own,little,little,996,12,repairs
551,45,male,1,own,quite rich,,1750,6,radio/TV
552,34,male,2,own,little,little,6999,48,radio/TV
553,27,male,2,own,moderate,moderate,1995,12,car
554,67,female,3,own,little,moderate,1199,9,education
555,22,male,2,own,little,moderate,1331,12,radio/TV
556,28,female,2,own,moderate,moderate,2278,18,car
557,29,female,2,own,little,little,5003,21,car
558,27,male,2,own,little,little,3552,24,furniture/equipment
559,31,male,1,own,little,moderate,1928,18,furniture/equipment
560,49,male,2,free,little,little,2964,24,car
561,24,male,1,rent,little,little,1546,24,radio/TV
562,29,female,2,own,little,rich,683,6,radio/TV
563,37,male,2,free,little,moderate,12389,36,car
564,37,male,3,own,little,moderate,4712,24,business
565,23,female,2,rent,moderate,moderate,1553,24,radio/TV
566,36,male,2,own,little,little,1372,12,car
567,34,male,2,own,rich,,2578,24,radio/TV
568,41,male,2,own,,moderate,3979,48,radio/TV
569,31,female,2,own,little,little,6758,48,radio/TV
